epoch,phase,epock_loss,epoch_acc
0,train,1.1759024298439422,0.5375
0,test,0.8021986559033394,0.690625
1,train,0.9760748865703742,0.6625
1,test,0.7499733027070761,0.73125
2,train,0.9215709369629621,0.6416666666666667
2,test,0.902103996835649,0.709375
3,train,0.9593217588961125,0.6645833333333333
3,test,0.675860819965601,0.775
4,train,0.8534867646793525,0.69375
4,test,0.6045149672776461,0.778125
5,train,0.8352069058765967,0.7
5,test,0.6793888630345464,0.775
6,train,0.7523894549657901,0.7458333333333333
6,test,0.7984742868691683,0.753125
7,train,0.6400705369810263,0.7583333333333333
7,test,0.6395683733746409,0.7875
8,train,0.5703812766820192,0.8125
8,test,0.5762603079900146,0.803125
9,train,0.5884892122199138,0.7729166666666667
9,test,0.6066139820963145,0.796875
10,train,0.513334650794665,0.8125
10,test,0.5226025095209479,0.815625
11,train,0.5594180688261986,0.7979166666666667
11,test,0.5259105052798987,0.809375
12,train,0.47223099221785864,0.8354166666666667
12,test,0.5190760552883148,0.8125
13,train,0.5044087634732326,0.8208333333333333
13,test,0.5312103565782309,0.815625
14,train,0.49357535106440387,0.8145833333333333
14,test,0.5652372594922781,0.803125
15,train,0.47324131764471533,0.81875
15,test,0.5427518336102366,0.803125
16,train,0.5169594803204139,0.8125
16,test,0.5446684323251247,0.8
17,train,0.5151159798105558,0.81875
17,test,0.5527955111116171,0.803125
18,train,0.5007669240236282,0.8145833333333333
18,test,0.5280832648277283,0.809375
19,train,0.520983026176691,0.7979166666666667
19,test,0.5365486975759268,0.803125
20,train,0.44399743316074214,0.8354166666666667
20,test,0.5154492169618606,0.825
21,train,0.5131039720028638,0.81875
21,test,0.5576417686417698,0.80625
22,train,0.47944509821633496,0.8270833333333333
22,test,0.5359589461237192,0.8
23,train,0.461584530894955,0.8375
23,test,0.5355033015832305,0.809375
24,train,0.4178587184598049,0.8375
24,test,0.5330786919221282,0.8125
25,train,0.4521252344051997,0.84375
25,test,0.5176691943779588,0.809375
26,train,0.48493862512211006,0.8208333333333333
26,test,0.5396242368966341,0.809375
27,train,0.38950138837099074,0.8541666666666666
27,test,0.5301195008680224,0.815625
28,train,0.45853461263080436,0.8333333333333334
28,test,0.5203996159136295,0.809375
29,train,0.4601650749643644,0.8145833333333333
29,test,0.5146257091313601,0.80625
30,train,0.4482318826019764,0.8479166666666667
30,test,0.5217645796015858,0.8125
31,train,0.49269098142782847,0.8125
31,test,0.5241134399548173,0.803125
32,train,0.4566596023738384,0.8354166666666667
32,test,0.5601607274264098,0.8
33,train,0.5193001526097457,0.7916666666666666
33,test,0.5741136169061065,0.796875
34,train,0.4778153467923403,0.8395833333333333
34,test,0.5113367788493633,0.8125
35,train,0.46889094946285087,0.84375
35,test,0.5251796560361981,0.815625
